SSATier1,SSATier2,Provision,LevelOfLearning,AppType,Sex,AgeGroup,Ethnicity,IndustrySection,NumberSustainedEmployment,SustainedEmploymentPercent
Education and Training,Teaching and Lecturing,All,Level 3 Other,All,All,All,All,Human Health And Social Work Activities,120.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,All,Intermediate Apprenticeship,All,All,All,All,Construction,70.0,0.0
"Business, Administration and Law",Accounting and Finance,All,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Public Administration And Defence - Compulsory Social Security,80.0,0.0
Social Sciences,Sociology and Social Policy,Education & Training,All,All,All,18 and under,All,Financial And Insurance Activities,130.0,0.0
Preparation for Life and Work,All,All,Level 1 ESOL,All,All,All,All,Real Estate Activities,60.0,0.0
Engineering and Manufacturing Technologies,All,All,All,Standard apprenticeship,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",250.0,0.0
All,All,All,All,Framework apprenticeship,All,19 - 24,All,Transportation And Storage,30.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",All,All,Not applicable,All,All,Black / African / Caribbean / Black British,"Arts, Entertainment And Recreation",50.0,0.0
Digital Technology,All,All,All,All,All,All,Unknown,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,80.0,0.0
All,All,All,All,Framework apprenticeship,All,All,All,Unknown,190.0,0.0
Engineering and Manufacturing Technologies,Engineering,All,All,All,All,All,Mixed / Multiple ethnic groups,Construction,70.0,0.0
"Business, Administration and Law",All,Apprenticeship,All,Framework apprenticeship,All,25 - 49,All,Administrative And Support Service Activities,c,0.0
Social Sciences,All,Apprenticeship,All,Standard apprenticeship,All,All,White,Public Administration And Defence - Compulsory Social Security,60.0,0.0
"Languages, Literature and Culture","Other Languages, Literature and Culture",All,All,Not applicable,All,18 and under,All,Other Service Activities,10.0,0.0
"Health, Public Services and Care",Not Applicable / Not Known,All,All,Not applicable,All,All,Black / African / Caribbean / Black British,All,40.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,All,Level 1 / Other Entry Level,All,All,All,All,Information And Communication,c,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",Education & Training,Full level 3,All,All,All,All,Transportation And Storage,20.0,0.0
"History, Philosophy and Theology",Archaeology and Archaeological Sciences,All,All,All,Male,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,c,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,All,All,Standard apprenticeship,All,18 and under,All,Public Administration And Defence - Compulsory Social Security,c,0.0
Education and Training,Teaching and Lecturing,Apprenticeship,Higher (Level 4) Apprenticeship,All,All,All,All,Public Administration And Defence - Compulsory Social Security,10.0,0.0
"Health, Public Services and Care",Child Development and Well Being,All,Higher (Level 5) Apprenticeship,All,All,All,All,Education,c,0.0
"Construction, Planning and the Built Environment",Not Applicable / Not Known,All,All,All,All,All,All,"Arts, Entertainment And Recreation",20.0,0.0
Retail and Commercial Enterprise,All,Education & Training,All,All,Male,All,All,Real Estate Activities,70.0,0.0
"Construction, Planning and the Built Environment",All,Education & Training,All,All,All,50 and over,All,Accommodation And Food Service Activities,50.0,0.0
Engineering and Manufacturing Technologies,Engineering,All,All,Standard apprenticeship,All,All,White,Mining And Quarrying,10.0,0.0
"Leisure, Travel and Tourism",All,Apprenticeship,Intermediate Apprenticeship,Framework apprenticeship,All,All,All,All,10.0,0.0
"Health, Public Services and Care",Child Development and Well Being,All,All,All,All,19 - 24,All,"Arts, Entertainment And Recreation",30.0,0.0
"History, Philosophy and Theology",Philosophy,All,All,All,All,All,All,Administrative And Support Service Activities,20.0,0.0
"Arts, Media and Publishing",All,Apprenticeship,Higher (Level 4) Apprenticeship,Standard apprenticeship,All,All,All,All,30.0,0.0
Retail and Commercial Enterprise,Service Enterprises,Education & Training,Level 4,Not applicable,All,All,All,Accommodation And Food Service Activities,90.0,0.0
"Arts, Media and Publishing",All,All,All,All,All,19 - 24,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",10.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,Apprenticeship,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Human Health And Social Work Activities,40.0,0.0
"Health, Public Services and Care",All,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,Construction,60.0,0.0
Digital Technology,Digital technology (users),Education & Training,All,Not applicable,All,All,Asian / Asian British,Manufacturing,50.0,0.0
"Leisure, Travel and Tourism",Travel and Tourism,All,Full level 2,Not applicable,All,All,All,Human Health And Social Work Activities,20.0,0.0
Digital Technology,All,All,Intermediate Apprenticeship,All,All,All,All,All,20.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,All,All,Not applicable,All,All,All,Financial And Insurance Activities,10.0,0.0
"History, Philosophy and Theology",Philosophy,Education & Training,All,All,All,18 and under,All,Human Health And Social Work Activities,10.0,0.0
Not Applicable / Not Known,All,Traineeship,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Manufacturing,10.0,0.0
Social Sciences,Sociology and Social Policy,All,All,All,All,All,Unknown,"Arts, Entertainment And Recreation",c,0.0
"Health, Public Services and Care",Public Services,All,All,Not applicable,All,All,All,Mining And Quarrying,c,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,Apprenticeship,All,Standard apprenticeship,Male,All,All,"Professional, Scientific And Technical Activities",10.0,0.0
"Languages, Literature and Culture","Other Languages, Literature and Culture",All,All,All,All,All,White,Real Estate Activities,20.0,0.0
"Business, Administration and Law",Law and Legal Services,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,Education,c,0.0
Education and Training,All,Apprenticeship,Higher (Level 5) Apprenticeship,Standard apprenticeship,All,All,All,Real Estate Activities,c,0.0
"Construction, Planning and the Built Environment",Building and Construction,Apprenticeship,All,All,All,All,Asian / Asian British,Unknown,c,0.0
Education and Training,Teaching and Lecturing,All,All,All,All,50 and over,All,Public Administration And Defence - Compulsory Social Security,30.0,0.0
Not Applicable / Not Known,Not Applicable / Not Known,All,All,All,All,All,Asian / Asian British,Unknown,20.0,0.0
Not Applicable / Not Known,Not Applicable / Not Known,Education & Training,All,Not applicable,All,All,All,Education,10.0,0.0
"History, Philosophy and Theology",Archaeology and Archaeological Sciences,All,All,All,All,25 - 49,All,"Professional, Scientific And Technical Activities",c,0.0
"Agriculture, Horticulture and Animal Care",Environmental Conservation,Education & Training,All,All,All,18 and under,All,Unknown,c,0.0
Social Sciences,All,Education & Training,All,Not applicable,All,All,Unknown,Education,10.0,0.0
"Business, Administration and Law",Administration,Apprenticeship,All,Framework apprenticeship,Male,All,All,All,20.0,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,All,All,All,All,25 - 49,All,"Professional, Scientific And Technical Activities",10.0,0.0
Preparation for Life and Work,Preparation for Work,All,All,All,All,18 and under,All,Accommodation And Food Service Activities,4170.0,1.0
Engineering and Manufacturing Technologies,Not Applicable / Not Known,Education & Training,All,All,All,All,White,Accommodation And Food Service Activities,40.0,0.0
"Arts, Media and Publishing",All,Education & Training,All,Not applicable,All,All,White,Human Health And Social Work Activities,1930.0,0.0
"Business, Administration and Law",All,All,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,500.0,0.0
"Arts, Media and Publishing",Media and Communication,Education & Training,Full level 3,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,2380.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",Education & Training,Full level 3,Not applicable,All,All,All,"Arts, Entertainment And Recreation",1090.0,0.0
"Business, Administration and Law",Administration,Education & Training,Level 2 Other,All,All,All,All,Manufacturing,400.0,0.0
"Leisure, Travel and Tourism",Travel and Tourism,Education & Training,Level 2 Other,All,All,All,All,Accommodation And Food Service Activities,210.0,0.0
Social Sciences,Sociology and Social Policy,All,Full level 3,Not applicable,All,All,All,Accommodation And Food Service Activities,5160.0,1.0
"Arts, Media and Publishing",All,Education & Training,Full level 3,Not applicable,All,All,All,Administrative And Support Service Activities,750.0,0.0
"Business, Administration and Law",All,Education & Training,Level 2 Other,All,All,All,All,Financial And Insurance Activities,480.0,0.0
"Arts, Media and Publishing",All,Education & Training,All,Not applicable,All,All,All,Education,2370.0,0.0
All,All,All,Level 3 Other,Not applicable,All,All,All,Transportation And Storage,1290.0,0.0
"Business, Administration and Law",Accounting and Finance,All,All,All,Male,All,All,All,6230.0,1.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,Education & Training,Level 2 Other,Not applicable,All,All,All,All,1720.0,0.0
Retail and Commercial Enterprise,Service Enterprises,Education & Training,All,Not applicable,All,All,White,Public Administration And Defence - Compulsory Social Security,180.0,0.0
"Business, Administration and Law",All,All,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Administrative And Support Service Activities,290.0,0.0
"Business, Administration and Law",Business Management,All,Level 2 Other,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,1310.0,0.0
Retail and Commercial Enterprise,All,Apprenticeship,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Accommodation And Food Service Activities,760.0,0.0
"Health, Public Services and Care",Public Services,All,All,Not applicable,All,All,White,Manufacturing,290.0,0.0
"Arts, Media and Publishing",Performing Arts,All,All,Not applicable,All,All,All,Transportation And Storage,100.0,0.0
Digital Technology,Digital technology (users),All,Other,All,All,All,All,All,60.0,0.0
Engineering and Manufacturing Technologies,All,Apprenticeship,All,Standard apprenticeship,All,All,Unknown,Transportation And Storage,130.0,0.0
All,All,Education & Training,Entry Level English & Maths,Not applicable,All,All,All,Unknown,2060.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",Education & Training,All,Not applicable,All,19 - 24,All,Unknown,50.0,0.0
"Business, Administration and Law",Business Management,Education & Training,All,Not applicable,All,18 and under,All,Unknown,210.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",Education & Training,All,All,All,50 and over,All,Education,500.0,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,Education & Training,All,All,All,All,White,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,320.0,0.0
"Leisure, Travel and Tourism",Travel and Tourism,Education & Training,All,Not applicable,Female,All,All,Education,60.0,0.0
Retail and Commercial Enterprise,All,Education & Training,All,Not applicable,All,50 and over,All,Mining And Quarrying,c,0.0
"Health, Public Services and Care",All,Education & Training,All,All,All,18 and under,All,"Agriculture, Forestry And Fishing",130.0,0.0
"Agriculture, Horticulture and Animal Care",All,Education & Training,All,All,All,50 and over,All,Administrative And Support Service Activities,100.0,0.0
"Business, Administration and Law",Business Management,Apprenticeship,All,Standard apprenticeship,All,All,Mixed / Multiple ethnic groups,Education,60.0,0.0
"Business, Administration and Law",Business Management,All,Full level 3,All,All,All,All,Financial And Insurance Activities,240.0,0.0
"Business, Administration and Law",Business Management,All,All,Standard apprenticeship,Female,All,All,Information And Communication,310.0,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,Apprenticeship,Advanced Apprenticeship,All,All,All,All,All,210.0,0.0
Social Sciences,All,Education & Training,All,All,All,18 and under,All,Manufacturing,250.0,0.0
"Leisure, Travel and Tourism",All,Education & Training,All,All,Female,All,All,Unknown,400.0,0.0
"Business, Administration and Law",Business Management,All,Higher (Level 5) Apprenticeship,All,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",30.0,0.0
"Business, Administration and Law",Business Management,Education & Training,All,All,All,All,Other ethnic group,Administrative And Support Service Activities,100.0,0.0
"Arts, Media and Publishing",All,All,All,Not applicable,All,All,White,"Electricity, Gas, Steam And Air Conditioning Supply",60.0,0.0
"Construction, Planning and the Built Environment",Not Applicable / Not Known,Education & Training,All,Not applicable,Male,All,All,Real Estate Activities,c,0.0
"Leisure, Travel and Tourism",All,All,All,All,All,19 - 24,All,"Arts, Entertainment And Recreation",420.0,0.0
"Health, Public Services and Care",Public Services,Education & Training,All,Not applicable,Male,All,All,Construction,140.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,Education & Training,All,Not applicable,Male,All,All,Unknown,280.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,All,Full level 3,Not applicable,All,All,All,Unknown,90.0,0.0
"Health, Public Services and Care",Public Services,All,Level 2 Other,All,All,All,All,Public Administration And Defence - Compulsory Social Security,180.0,0.0
"Health, Public Services and Care",All,Apprenticeship,Higher (Level 4) Apprenticeship,All,All,All,All,Transportation And Storage,10.0,0.0
"Business, Administration and Law",Law and Legal Services,All,All,Not applicable,All,All,White,Administrative And Support Service Activities,110.0,0.0
Digital Technology,All,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,"Professional, Scientific And Technical Activities",50.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",Education & Training,All,All,All,All,Asian / Asian British,"Professional, Scientific And Technical Activities",60.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,Education & Training,Level 1 / Other Entry Level,All,All,All,All,Construction,20.0,0.0
"Business, Administration and Law",Business Management,Apprenticeship,All,All,All,25 - 49,All,"Electricity, Gas, Steam And Air Conditioning Supply",60.0,0.0
"Business, Administration and Law",Administration,All,All,Standard apprenticeship,All,All,Mixed / Multiple ethnic groups,Real Estate Activities,10.0,0.0
"History, Philosophy and Theology",Theology and Religious Studies,All,All,Not applicable,All,All,Unknown,Accommodation And Food Service Activities,10.0,0.0
"Health, Public Services and Care",Child Development and Well Being,Education & Training,All,All,All,25 - 49,All,Financial And Insurance Activities,20.0,0.0
Education and Training,All,Education & Training,Level 4,All,All,All,All,Education,90.0,0.0
"Business, Administration and Law",Marketing and Sales,All,All,All,All,All,Asian / Asian British,Unknown,10.0,0.0
"Business, Administration and Law",Not Applicable / Not Known,All,Level 2 Other,All,All,All,All,Accommodation And Food Service Activities,60.0,0.0
Science and Mathematics,Mathematics and Statistics,All,All,Not applicable,All,All,Black / African / Caribbean / Black British,Real Estate Activities,10.0,0.0
"Business, Administration and Law",Business Management,Apprenticeship,Intermediate Apprenticeship,All,All,All,All,Public Administration And Defence - Compulsory Social Security,10.0,0.0
"Languages, Literature and Culture",All,Education & Training,All,All,All,All,Mixed / Multiple ethnic groups,Transportation And Storage,20.0,0.0
"History, Philosophy and Theology",All,Education & Training,All,Not applicable,All,All,Black / African / Caribbean / Black British,Administrative And Support Service Activities,30.0,0.0
Retail and Commercial Enterprise,Service Enterprises,Apprenticeship,All,All,Female,All,All,Education,30.0,0.0
Digital Technology,Not Applicable / Not Known,All,All,Not applicable,Male,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Business, Administration and Law",Marketing and Sales,Education & Training,All,All,All,All,Asian / Asian British,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,30.0,0.0
"Languages, Literature and Culture","Other Languages, Literature and Culture",Education & Training,All,Not applicable,All,All,Unknown,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,10.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,Education & Training,All,Not applicable,All,50 and over,All,Human Health And Social Work Activities,40.0,0.0
"Arts, Media and Publishing",Performing Arts,All,All,All,All,All,White,"Agriculture, Forestry And Fishing",50.0,0.0
"Languages, Literature and Culture",Linguistics,Education & Training,All,All,All,All,All,Manufacturing,c,0.0
Retail and Commercial Enterprise,Service Enterprises,All,Level 3 Other,Not applicable,All,All,All,Manufacturing,80.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,All,Advanced Apprenticeship,All,All,All,All,Mining And Quarrying,20.0,0.0
"History, Philosophy and Theology",History,Education & Training,All,All,All,All,Unknown,All,20.0,0.0
Education and Training,Teaching and Lecturing,All,All,Not applicable,All,19 - 24,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,20.0,0.0
"Business, Administration and Law",Business Management,All,All,Standard apprenticeship,All,All,Other ethnic group,"Professional, Scientific And Technical Activities",c,0.0
"Leisure, Travel and Tourism",Travel and Tourism,All,All,All,All,All,Asian / Asian British,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,60.0,0.0
"History, Philosophy and Theology",Philosophy,Education & Training,All,All,Male,All,All,Education,c,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,Education & Training,All,Not applicable,Male,All,All,Human Health And Social Work Activities,100.0,0.0
"Health, Public Services and Care",Health and Social Care,Apprenticeship,All,Standard apprenticeship,All,All,Black / African / Caribbean / Black British,"Professional, Scientific And Technical Activities",10.0,0.0
"Business, Administration and Law",All,Apprenticeship,All,All,All,19 - 24,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
Education and Training,Teaching and Lecturing,All,All,Not applicable,All,19 - 24,All,Administrative And Support Service Activities,20.0,0.0
"Languages, Literature and Culture","Other Languages, Literature and Culture",Education & Training,All,Not applicable,All,19 - 24,All,"Professional, Scientific And Technical Activities",10.0,0.0
Retail and Commercial Enterprise,Service Enterprises,All,All,Not applicable,Female,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",10.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,All,All,Not applicable,All,25 - 49,All,Construction,c,0.0
"Arts, Media and Publishing",Media and Communication,All,All,Not applicable,Female,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"Languages, Literature and Culture","Other Languages, Literature and Culture",All,All,All,All,All,Asian / Asian British,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
"Construction, Planning and the Built Environment",All,All,All,Framework apprenticeship,Male,All,All,Public Administration And Defence - Compulsory Social Security,10.0,0.0
Preparation for Life and Work,Foundations for Learning and Life,All,Level 3 Other,Not applicable,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
Digital Technology,Digital technology (practitioners),All,Other,All,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,Apprenticeship,Higher (Level 6) Apprenticeship,Standard apprenticeship,All,All,All,Construction,c,0.0
"Health, Public Services and Care",Public Services,All,All,Not applicable,Female,All,All,Accommodation And Food Service Activities,1480.0,0.0
All,All,All,All,All,All,18 and under,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,550.0,0.0
Preparation for Life and Work,Preparation for Work,All,All,Not applicable,All,All,Black / African / Caribbean / Black British,Human Health And Social Work Activities,370.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",All,All,Not applicable,All,All,White,Unknown,2100.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,Education & Training,All,Not applicable,All,All,All,Accommodation And Food Service Activities,4160.0,1.0
Digital Technology,Digital technology (practitioners),All,Higher (Level 4) Apprenticeship,All,All,All,All,"Professional, Scientific And Technical Activities",220.0,0.0
"Business, Administration and Law",All,Education & Training,Level 1 / Other Entry Level,All,All,All,All,Education,920.0,0.0
"Leisure, Travel and Tourism",All,Education & Training,All,Not applicable,All,All,All,Public Administration And Defence - Compulsory Social Security,580.0,0.0
"Languages, Literature and Culture",All,Education & Training,All,All,All,All,All,Accommodation And Food Service Activities,5730.0,1.0
Engineering and Manufacturing Technologies,All,All,All,All,All,All,All,Human Health And Social Work Activities,1160.0,0.0
All,All,Apprenticeship,Higher (Level 5) Apprenticeship,All,All,All,All,"Professional, Scientific And Technical Activities",210.0,0.0
All,All,Apprenticeship,All,Standard apprenticeship,All,All,All,Manufacturing,7360.0,1.0
Engineering and Manufacturing Technologies,Not Applicable / Not Known,All,All,All,Male,All,All,All,160.0,0.0
"Health, Public Services and Care",Health and Social Care,Education & Training,All,Not applicable,All,50 and over,All,All,22250.0,3.0
"Arts, Media and Publishing",Performing Arts,Education & Training,All,All,All,25 - 49,All,All,680.0,0.0
All,All,All,All,Not applicable,All,All,Asian / Asian British,All,62280.0,8.0
All,All,Education & Training,Level 5,Not applicable,All,All,All,All,670.0,0.0
Preparation for Life and Work,Preparation for Work,Education & Training,All,Not applicable,Male,All,All,Construction,610.0,0.0
"Languages, Literature and Culture",All,Education & Training,All,All,All,18 and under,All,Information And Communication,100.0,0.0
"Business, Administration and Law",All,All,All,All,All,25 - 49,All,Information And Communication,1100.0,0.0
Preparation for Life and Work,All,All,All,All,All,25 - 49,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,490.0,0.0
"Health, Public Services and Care",Health and Social Care,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,370.0,0.0
Preparation for Life and Work,All,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Transportation And Storage,210.0,0.0
"Business, Administration and Law",All,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,Public Administration And Defence - Compulsory Social Security,210.0,0.0
Science and Mathematics,All,Education & Training,All,All,All,All,All,Information And Communication,400.0,0.0
"Business, Administration and Law",All,All,Level 1 / Other Entry Level,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,1490.0,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Education & Training,All,Not applicable,All,18 and under,All,All,410.0,0.0
Not Applicable / Not Known,Not Applicable / Not Known,Traineeship,All,All,All,All,Black / African / Caribbean / Black British,All,400.0,0.0
"Arts, Media and Publishing",Performing Arts,All,All,Not applicable,All,All,White,"Arts, Entertainment And Recreation",880.0,0.0
"Agriculture, Horticulture and Animal Care",Environmental Conservation,Education & Training,All,All,All,All,All,Administrative And Support Service Activities,200.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,Apprenticeship,All,All,All,19 - 24,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,180.0,0.0
"Business, Administration and Law",All,All,All,Standard apprenticeship,All,All,Unknown,Education,70.0,0.0
"Agriculture, Horticulture and Animal Care",All,Education & Training,All,All,Female,All,All,Other Service Activities,580.0,0.0
"Business, Administration and Law",Business Management,Apprenticeship,Higher (Level 7+) Apprenticeship,Standard apprenticeship,All,All,All,"Professional, Scientific And Technical Activities",190.0,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Education & Training,Full level 2,All,All,All,All,Administrative And Support Service Activities,50.0,0.0
Preparation for Life and Work,Foundations for Learning and Life,All,Full level 3,Not applicable,All,All,All,All,40.0,0.0
Preparation for Life and Work,All,Education & Training,All,All,All,All,Asian / Asian British,Information And Communication,190.0,0.0
"Business, Administration and Law",Business Management,Education & Training,Level 1 / Other Entry Level,All,All,All,All,Administrative And Support Service Activities,210.0,0.0
Preparation for Life and Work,All,All,Level 2 Other,Not applicable,All,All,All,Financial And Insurance Activities,80.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",All,Level 3 Other,Not applicable,All,All,All,Unknown,220.0,0.0
"Leisure, Travel and Tourism",All,All,All,All,All,All,Asian / Asian British,Unknown,70.0,0.0
All,All,All,All,All,All,All,Mixed / Multiple ethnic groups,"Water Supply - Sewerage, Waste Management And Remediation Activities",60.0,0.0
Education and Training,Teaching and Lecturing,Education & Training,All,All,All,All,Mixed / Multiple ethnic groups,All,60.0,0.0
"Health, Public Services and Care",Public Services,All,Full level 3,Not applicable,All,All,All,All,90.0,0.0
"Health, Public Services and Care",All,Apprenticeship,All,All,Female,All,All,Construction,60.0,0.0
"Leisure, Travel and Tourism",All,Education & Training,Full level 3,All,All,All,All,Real Estate Activities,60.0,0.0
"Construction, Planning and the Built Environment",All,All,Level 6,All,All,All,All,All,10.0,0.0
Education and Training,Teaching and Lecturing,Education & Training,Level 3 Other,Not applicable,All,All,All,"Arts, Entertainment And Recreation",10.0,0.0
"Construction, Planning and the Built Environment",Not Applicable / Not Known,All,All,Not applicable,Male,All,All,Construction,170.0,0.0
"Health, Public Services and Care",Medicine and Dentistry,All,Higher (Level 4) Apprenticeship,Standard apprenticeship,All,All,All,Human Health And Social Work Activities,210.0,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Education & Training,All,All,All,All,White,Accommodation And Food Service Activities,170.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,All,All,Standard apprenticeship,All,All,White,Public Administration And Defence - Compulsory Social Security,20.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",Education & Training,Level 1 / Other Entry Level,All,All,All,All,Real Estate Activities,70.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",All,All,All,Female,All,All,Construction,60.0,0.0
Science and Mathematics,Science,Education & Training,All,Not applicable,All,18 and under,All,"Agriculture, Forestry And Fishing",70.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,Education & Training,Level 2 Other,All,All,All,All,Education,60.0,0.0
"Arts, Media and Publishing",All,Education & Training,All,All,All,19 - 24,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
"Arts, Media and Publishing",All,Education & Training,All,All,All,All,Mixed / Multiple ethnic groups,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
"Health, Public Services and Care",Health and Social Care,Apprenticeship,All,All,Male,All,All,Public Administration And Defence - Compulsory Social Security,130.0,0.0
Preparation for Life and Work,All,All,All,Not applicable,All,50 and over,All,Activities Of Extraterritorial Organisations And Bodies,c,0.0
Digital Technology,All,All,All,Standard apprenticeship,All,All,Other ethnic group,Financial And Insurance Activities,10.0,0.0
"Health, Public Services and Care",Child Development and Well Being,All,Higher (Level 5) Apprenticeship,All,All,All,All,All,10.0,0.0
"Business, Administration and Law",Law and Legal Services,All,Level 3 Other,Not applicable,All,All,All,Financial And Insurance Activities,c,0.0
Retail and Commercial Enterprise,Not Applicable / Not Known,Education & Training,Level 2 Other,All,All,All,All,All,50.0,0.0
Retail and Commercial Enterprise,Not Applicable / Not Known,All,All,All,All,All,All,All,50.0,0.0
Social Sciences,All,All,All,Not applicable,Male,All,All,Information And Communication,60.0,0.0
"Construction, Planning and the Built Environment",All,All,All,All,Female,All,All,Transportation And Storage,50.0,0.0
Digital Technology,Digital technology (practitioners),Apprenticeship,All,Standard apprenticeship,All,All,Asian / Asian British,Real Estate Activities,c,0.0
Engineering and Manufacturing Technologies,Engineering,Apprenticeship,All,Framework apprenticeship,All,25 - 49,All,"Professional, Scientific And Technical Activities",10.0,0.0
Retail and Commercial Enterprise,Service Enterprises,Education & Training,All,All,All,All,Mixed / Multiple ethnic groups,Manufacturing,10.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",Education & Training,Other,All,All,All,All,Accommodation And Food Service Activities,20.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,All,All,All,All,18 and under,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",Apprenticeship,All,Standard apprenticeship,All,50 and over,All,Accommodation And Food Service Activities,c,0.0
Social Sciences,Economics,All,All,All,All,All,Black / African / Caribbean / Black British,Accommodation And Food Service Activities,10.0,0.0
"Business, Administration and Law",Administration,Education & Training,All,Not applicable,All,All,Asian / Asian British,Real Estate Activities,10.0,0.0
Social Sciences,Politics,Education & Training,All,All,All,18 and under,All,Other Service Activities,10.0,0.0
Education and Training,Teaching and Lecturing,All,All,Standard apprenticeship,All,All,Unknown,Education,30.0,0.0
Digital Technology,Digital technology (practitioners),Education & Training,All,All,Male,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",30.0,0.0
Retail and Commercial Enterprise,Service Enterprises,All,All,Standard apprenticeship,All,50 and over,All,"Professional, Scientific And Technical Activities",c,0.0
